,cuid,convert_30,revenue_30,roll_up,currentstatus,companytypegroup,team,customersource,accrole,num_employees,num_purchases_year,cost_purchases_year,enrollmentmethod,numorderone,numorderthreeone,numorderseventhree,numorderthirtyseven,numordersixtythirty,numorderyearsixty,sumrevone,sumrevthreeone,sumrevseventhree,sumrevthirtyseven,sumrevsixtythirty,sumrevyearsixty,numbamorder,numselforder,totalrev,aov,dayssincelastord,cuidshare,numstores,pospercentage,numinf,numinfconnect,numinfphone,numinfquote,percentlarge,percdirtythirty,percdirtyninetythirty,percdirtyyearninety,numbilling,numreturn,numwims,numproblem,numother,percentresolved,minnps,avgnps,maxnps,nps_count,numquote,numorderfromquote,quoteconrate,avgquoteprice,avgconquoteprice,numvisitone,numvisitthreeone,numvisitseventhree,numvisitthirtyseven,numvisitsixtythirty,numvisityearsixty,numvisittotal,numloggedinone,numloggedinthreeone,numloggedinseventhree,numloggedinthirtyseven,numloggedinsixtythirty,numloggedinyearsixty,numsecondsonsiteone,numsecondsonsitethreeone,numsecondsonsiteseventhree,numsecondsonsitethirtyseven,numsecondsonsitesixtythirty,numsecondsonsiteyearsixty,numtotalpageviewsone,numtotalpageviewsthreeone,numtotalpageviewsseventhree,numtotalpageviewsthirtyseven,numtotalpageviewssixtythirty,numtotalpageviewsyearsixty,numatcone,numatcthreeone,numatcseventhree,numatcthirtyseven,numatcsixtythirty,numatcyearsixty,numideaboardone,numideaboardthreeone,numideaboardseventhree,numideaboardthirtyseven,numideaboardsixtythirty,numideaboardyearsixty,dayssincelastvisit,sumatcprice,avgatcprice,numsearchtermsone,numsearchtermsthreeone,numsearchtermsseventhree,numsearchtermsthirtyseven,numsearchtermssixtythirty,numsearchtermsyearsixty,numskusviewedone,numskusviewedthreeone,numskusviewedseventhree,numskusviewedthirtyseven,numskusviewedsixtythirty,numskusviewedyearsixty,avgpriceone,avgpricethreeone,avgpriceseventhree,avgpricethirtyseven,avgpricesixtythirty,avgpriceyearsixty,avgprice,numtasksfirstintroone,numtasksfirstintrothreeone,numtasksfirstintroseventhree,numtasksfirstintrothirtyseven,numtasksfirstintrosixtythirty,numtasksfirstintroyearsixty,numtaskscadenceone,numtaskscadencethreeone,numtaskscadenceseventhree,numtaskscadencethirtyseven,numtaskscadencesixtythirty,numtaskscadenceyearsixty,numtasksreassignone,numtasksreassignthreeone,numtasksreassignseventhree,numtasksreassignthirtyseven,numtasksreassignsixtythirty,numtasksreassignyearsixty,numtaskscustactone,numtaskscustactthreeone,numtaskscustactseventhree,numtaskscustactthirtyseven,numtaskscustactsixtythirty,numtaskscustactyearsixty,numtasksotherone,numtasksotherthreeone,numtasksotherseventhree,numtasksotherthirtyseven,numtasksothersixtythirty,numtasksotheryearsixty,numcallsone,numcallsthreeone,numcallsseventhree,numcallsthirtyseven,numcallssixtythirty,numcallsyearsixty,numemailsone,numemailsthreeone,numemailsseventhree,numemailsthirtyseven,numemailssixtythirty,numemailsyearsixty,totalcalldurationone,totalcalldurationthreeone,totalcalldurationseventhree,totalcalldurationthirtyseven,totalcalldurationsixtythirty,totalcalldurationyearsixty,decmakerflagone,decmakerflagsevenone,decmakerflagfourteenseven,decmakerflagthirtyfourteen,percsecondsinbound,percemailopenedone,percemailopenedthreeone,percemailopenedseventhree,percemailopenedthirtyseven,percemailopenedsixtythirty,percemailopenedyearsixty,percemailclickedone,percemailclickedthreeone,percemailclickedseventhree,percemailclickedthirtyseven,percemailclickedsixtythirty,percemailclickedyearsixty,currentapplicability,numemaillist,dayssinceenrollment
22,607,0,0,Onboarding,Enrolled,Business,US,Social - Paid,Primary,None,None,None,phone,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,6,1,27,35,0,0,0,2,0,16,0,146,0,658,0,5759,0,4,0,28,1,90,0,0,0,1,0,2,0,0,0,0,0,0,3,349.99,349.99,,,,,,,0,0,0,2,0,22,,,,1111.46,,888.0345455,906.6533333,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,364,0,0,0,0,0,0,0.697802198,0,0,0,0.021978022,0.072289157,0.067692308,0,0,0,0,0,0.006153846,4.333333333,3,24
24,643,0,0,Onboarding,Enrolled,Business,US,Social - Paid,None,None,None,None,email,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,2,0,1,0,0,0,0,0,77,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,,,3
27,681,0,0,Onboarding,Enrolled,Business,US,Search - Paid,None,2to5,25plus,25to100,directEIN,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,10,0,6,19,0,2,1,6,0,0,0,280,10218,9404,0,5652,0,11,124,367,0,39,0,0,1,4,0,0,0,0,0,0,0,0,3,4201.52,300.1085714,0,0,2,5,0,5,0,1,27,112,0,13,,690,584.8422222,648.0130357,,1618.443077,719.5945098,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.6,0,0,0,0.16969697,0,0.2,0,0,0,0.003030303,,,8
28,688,0,0,Onboarding,Active,Business,US,Search - Paid,Primary,50plus,None,None,other,0,0,1,0,0,0,0,0,621.77,0,0,0,0,1,621.77,621.77,4,1,1,0,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,5,15,21,3,49,93,0,3,9,11,2,35,0,3830,10284,41404,947,63161,0,39,101,206,25,650,0,0,1,2,0,1,0,0,1,1,1,11,3,9341.15,622.7433333,0,1,10,2,2,44,0,9,26,49,6,158,,1205.203333,421.4846154,427.7885714,150.1083333,413.0131646,439.208871,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0.111111111,0.307692308,0.130434783,0.074074074,0.052023121,0,0,0.153846154,0.043478261,0,0.005780347,5,2,7
30,699,0,0,Onboarding,Enrolled,Business,US,Internal Customer Scrape,None,None,None,None,email,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,2,90,97,0,0,0,4,1,51,0,0,0,10788,1578,182618,0,0,0,101,54,1458,0,0,0,1,0,4,0,0,0,1,1,4,22,149,149,0,0,0,2,2,38,0,0,0,21,16,323,,,,320.5209524,851.02,641.0745511,631.7065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0.086956522,0.071428571,0.016129032,0,0,0,0,0,0,3,1,19
32,769,0,0,Onboarding,Enrolled,Business,US,Internal Application,None,6to10,3to5,5to25,directEIN,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,7,10,25,48,1,0,0,0,0,9,3094,126,4355,5946,9586,16220,85,2,29,113,74,141,1,0,0,1,1,2,0,0,0,0,0,1,1,7017.42,701.742,0,0,2,5,3,3,10,2,10,21,29,49,888.096,1899,828.353,745.8109524,474.2568966,780.727551,732.5092562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.181818182,0.073170732,0.157635468,0,0,0.166666667,0,0.024390244,0.009852217,8,2,1
33,787,0,0,Onboarding,Enrolled,Business,US,Internal Application,None,1,3to5,None,directEIN,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,4,16,24,0,0,0,1,2,0,0,0,0,535,3326,26443,0,0,0,28,48,158,0,0,0,0,1,0,0,0,0,0,0,0,25,,,0,0,0,0,0,6,0,0,0,10,12,38,,,,35.641,201.3716667,257.8878947,209.5435,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,,0,1,0.25,0.238095238,0.586206897,0.43452381,0,0,0,0,0,0.00297619,7,1,58
35,848,0,0,Onboarding,Enrolled,Business,US,Internal Customer Scrape,Purchaser,None,None,None,phone,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,9,9,9,1,,,,,,0,1,3,0,1,51,56,0,1,0,0,0,15,0,221,843,0,11,100240,0,10,23,0,1,442,0,0,0,0,0,5,0,0,0,0,0,0,3,,,0,0,1,0,0,17,0,0,5,0,1,73,,,121.996,,49.99,338.0723288,320.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.909090909,0,0,0,0,0,0.363636364,,,2
37,932,0,0,Onboarding,Enrolled,Business,US,Internal Application,Primary,None,None,None,phone,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,5,112,124,0,0,0,3,5,68,0,0,0,1496,118,169852,0,0,0,68,10,1748,0,0,0,0,0,22,0,0,0,0,0,0,9,,,0,0,0,0,0,45,0,0,0,8,3,327,,,,115.63,37.01,312.8034251,305.6887278,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,89,0,8,4,0,0,0,0,0,0,0,0,0,0,0.35483871,0,0,0,0,0,0.064516129,,,6
38,947,0,0,Onboarding,Active,Trade,US,External Application,None,None,None,None,other,0,1,1,1,0,0,0,229.99,305.56,831.99,0,0,0,3,1367.54,455.8466667,3,1,2,0,0,0,0,0,0.333333333,0.333333333,0,0,,,,,,,,,,,,,,,,2,4,15,40,38,1,100,2,4,12,33,18,0,0,3191,26835,50367,31888,179,2,12,222,392,407,9,0,1,6,3,5,0,0,0,0,0,0,0,1,6423.63,401.476875,0,0,6,11,7,0,2,5,62,72,103,1,1350,1136.77,455.6003226,626.5934722,936.2402913,247.5,728.2695918,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,,0,1,1,0.933333333,1,0,0,0,0.166666667,0.133333333,0.052631579,0,,,39
43,1101,0,0,Onboarding,Enrolled,Business,US,Internal Application,Primary,1,3to5,lessthan1,email,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,8,0,0,10,0,0,2,6,0,0,0,0,2360,5865,0,0,0,0,24,96,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,2031.98,338.6633333,0,0,3,5,0,0,0,0,3,17,0,0,,,559,285.3988235,,,326.439,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0.5,0.8,0,0,0,0,0,0.4,0,0,,,14
44,1104,0,0,Onboarding,Enrolled,Business,US,Social - Paid,None,2to5,6to10,5to25,directEIN,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,10,10,10,1,,,,,,0,0,2,27,20,78,127,0,0,1,21,9,9,0,0,832,35851,17487,26754,0,0,15,344,255,643,0,0,0,3,2,3,0,0,0,1,0,1,6,2189.97,729.99,0,0,0,0,0,6,0,0,5,69,52,150,,,720.828,319.3701449,649.9865385,603.2570667,543.2193478,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0.095238095,0.184466019,0.155963303,0.074074074,0,0,0.095238095,0.165048544,0.128440367,0.046296296,10,3,9
47,1142,0,0,Onboarding,Active,Business,US,Internal Customer Scrape,None,6to10,6to10,1to5,directEIN,0,0,0,1,0,0,0,0,0,339.98,0,0,0,1,339.98,339.98,19,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,2,10,8,0,20,0,0,2,10,8,0,0,0,38,12391,17406,0,0,0,4,198,140,0,0,0,0,5,1,0,0,0,0,2,7,0,6,3231.89,461.6985714,0,0,0,1,0,0,0,0,0,26,34,0,,,,817.5007692,1054.157941,,951.6065,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,19
57,1313,0,0,Onboarding,Enrolled,Trade,US,External Application,None,2to5,None,None,other,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,33,0,37,31,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0.023809524,0,0,5,2,14
59,1328,1,34.94,Onboarding,Enrolled,Business,US,External Application,None,2to5,3to5,1to5,directEIN,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,10,10,10,1,,,,,,0,2,0,0,3,40,45,0,2,0,0,0,6,0,1092,0,0,658,36632,0,34,0,0,22,832,0,0,0,0,0,5,0,0,0,0,0,2,3,,,0,0,0,0,0,21,0,2,0,0,2,114,,265.3,,,554.495,132.8135088,142.2061864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129834254,0,0,0,0,0,0.005524862,4.333333333,3,3
60,1338,0,0,Onboarding,Enrolled,Trade,US,External Application,None,2to5,None,None,other,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,2,1,25,33,0,1,2,2,1,21,0,248,17892,84,6,14764,0,26,63,2,1,256,0,1,1,0,0,2,0,0,0,0,0,0,3,778.1,389.05,0,0,5,0,0,20,0,1,10,2,1,36,,389.05,499.647,235.5,199,302.2302778,338.7162,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.026315789,0.024444444,0,0,0,0,0,0.002222222,3,2,3
61,1348,0,0,Onboarding,Enrolled,Business,US,Internal Customer Scrape,Primary,None,None,None,phone,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,26,41,0,0,0,0,3,0,0,0,0,0,15636,24553,0,0,0,0,234,279,0,0,0,0,4,6,0,0,0,0,0,0,31,,,0,0,0,0,5,4,0,0,0,0,37,47,,,,,392.8435135,864.5046809,656.7491667,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,,0,0,0,0,0.111111111,0,0,0,0,0,0,0,4,2,31
